"Periodo","Total_entre65y79","Total_mas80","porc_total_entre65y79","porc_total_mas80"
1967,2495236.85,460364.97,7.64558873124323,1.4105920353377
1968,2573496.84,475804.69,7.80021221689263,1.44215353137671
1969,2637166.8,495184.04,7.91393800607518,1.48600983227828
1970,2703883.47,510635.91,8.03803471691077,1.51800520171135
1971,2785694,528379.93,8.20591704463143,1.55646739147522
1972,2860934.87,534738.68,8.33588461351874,1.55806410750809
1973,2937625.34,553042.54,8.463181485955,1.59329350878813
1974,3015033.6,563627.66,8.59305556473634,1.60637805170806
1975,3088064.64,578831.37,8.70330076724625,1.6313594739478
1976,3151617.81,595331,8.76717458020065,1.65609256092046
1977,3216904.01,621045,8.85431536532642,1.70938525643454
1978,3300871.09,639430,8.99520238018568,1.74251041653436
1979,3375433.52,659959,9.11390457759607,1.78193506566994
1980,3453315.38,682094,9.24758857963764,1.82657069816756
1981,3503389.32,731265,9.30725761224116,1.94271064850296
1982,3546358.48,766603,9.36287318784483,2.023937149868
1983,3583571.25,815205,9.40855081734945,2.14029445320987
1984,3618713.54,856138.66,9.46017929631631,2.23815041908733
1985,3664318.64,899728.59,9.54030297125292,2.34250461922116
1986,3730052.12,942527.13,9.6793815120866,2.44583168901191
1987,3817417.81,986284.52,9.87774931520838,2.5520578901555
1988,3916699.11,1034571.86,10.1093034543177,2.67031001981613
1989,4013060.59,1083054.95,10.3373485128497,2.7898697828325
1990,4113511.45,1128994.79,10.5814662831781,2.90419036131983
1991,4206483.32,1177304.04,10.8118917924019,3.02601553813781
1992,4309129.45,1218848.69,11.0238899121697,3.11813648999387
1993,4404251.68,1269433.7,11.2020547423229,3.22875867056479
1994,4512608.32,1311550.04,11.4169022759138,3.31822253889983
1995,4622022,1356533.76,11.6356620905239,3.41499206315933
1996,4749137.7,1394300.07,11.9003723042678,3.49383214069927
1997,4870713.08,1426093.6,12.150361180696,3.55749805683051
1998,5001827.03,1458010.05,12.4191497311957,3.62012620827037
1999,5125909.99,1489297.26,12.6715183377307,3.68162093701182
2000,5229398.55,1513307.88,12.8690462743864,3.72410497094615
2001,5310712.27,1571294.9,12.9999234757247,3.84632275658883
2002,5391530,1639883.69,13.1225022525959,3.99133036745047
2003,5422927,1717122.92,12.9502583038415,4.10058725729603
2004,5408197,1784049.48,12.6973787395831,4.18859592905293
2005,5348515,1860961.06,12.3419873361315,4.29426819136785
2006,5429372,1929577.33,12.3269385054851,4.38094517901666
2007,5417888,2014768.22,12.0907576596307,4.49623068774132
2008,5435436,2091632.16,11.8964108637884,4.57790608725284
2009,5492427,2176161,11.8755453120724,4.70522385857195
2010,5551308,2261868,11.9410200971641,4.86534186990388
2011,5615826,2362623,12.0349543964819,5.06320175537477
2012,5663677,2453369,12.1000061870792,5.24143239086343
2013,5708638,2542452,12.2196416192152,5.44225299871126
2014,5789629,2640001,12.4503312312143,5.67720088812893
2015,5859608,2721854,12.617855097625,5.8611359955975
2016,5907991,2780880,12.723194908509,5.98878337106042
2017,5960574,2856449,12.8122585170207,6.13993937977874
2018,6071380,2886181.01,13.0129302165841,6.18601900647963
2019,6224693,2880883.01,13.2617863172943,6.13775729722634
2020,6384357,2834024,13.4546892206969,5.97255325226901
2021,6448011,2862817,13.6076742424577,6.04159657168232
2022,6657906.339787,2915377.698312,14.0599821583753,6.15661385595628
2023,6836605.966107,2945095.287666,14.4287124434191,6.21564753546836
2024,6981036.451748,3017746.369248,14.7238013629299,6.36477096368473
2025,7133614.096837,3091114.784834,15.0339968233125,6.51448329343944
2026,7284755.842268,3177949.337942,15.338709795543,6.69145867000728
2027,7448823.34911,3243851.389924,15.6675067399976,6.82296533737201
2028,7609830.151924,3321667.15623,15.9864217860912,6.97802331095042
2029,7757230.885512,3429079.22513,16.2725780287077,7.19328328382808
2030,7953578.776937,3513679.50234,16.6570559294057,7.35864415628803
2031,8154171.213814,3579015.287133,17.0454557797955,7.48156314263885
2032,8349517.731623,3647850.481256,17.4174496896121,7.60957150756939
2033,8534212.014759,3736741.408354,17.7623466899551,7.77731983586876
2034,8710840.276289,3821563.093588,18.0859939851268,7.93456944820257
2035,8892405.852746,3900207.525281,18.4166964772573,8.07755959195609
